,SHORT_URL,DESTINATION_URL
,https://xfin.tv/2DSuxKp,https://www.xfinity.com/stream/entity/5396560120036860112
,https://xfin.tv/2DSzKSG,https://www.xfinity.com/stream/entity/5584176029221955112
,https://xfin.tv/2DtD0Ue,https://www.xfinity.com/stream/entity/8635426145998236112
,https://xfin.tv/2DTY0Uf,https://www.xfinity.com/stream/entity/8359077953303870112
,https://xfin.tv/2DU34rS,https://www.xfinity.com/stream/entity/8474773427596463112
,https://xfin.tv/2DudXR9,https://www.xfinity.com/stream/entity/5802826307415344112
,https://xfin.tv/2DUglAT,https://www.xfinity.com/stream/entity/6012526213622230112
,https://xfin.tv/2DUK4tl,https://www.xfinity.com/stream/entity/5443085239760963112
,https://xfin.tv/2DUxkTk,https://www.xfinity.com/stream/entity/8884872880138575112
,https://xfin.tv/2DV99UX,https://www.xfinity.com/stream/entity/4998277699779719112
,https://xfin.tv/2Dvt64I,https://www.xfinity.com/stream/entity/6428585970824975112
,https://xfin.tv/2DvX74d,https://www.xfinity.com/stream/entity/9097764710084645112
,https://xfin.tv/2DvYbVG,https://www.xfinity.com/stream/entity/8289926771810718112
,https://xfin.tv/2Dxf4zk,https://www.xfinity.com/stream/entity/8613998200701438112
,https://xfin.tv/2DXNGLa,https://www.xfinity.com/stream/entity/5920308162115758112
,https://xfin.tv/2DXnTmb,https://www.xfinity.com/stream/entity/6222176039093330112
,https://xfin.tv/2Dy13S0,https://www.xfinity.com/stream/entity/8811106222646330112
,https://xfin.tv/2DY2j0O,https://www.xfinity.com/stream/entity/7408391368701919112
,https://xfin.tv/2Dy4Yy3,https://www.xfinity.com/stream/entity/5552383620607764112
,https://xfin.tv/2DYAZ2O,https://www.xfinity.com/stream/entity/4990762876290567112
,https://xfin.tv/2DYC0HS,https://www.xfinity.com/stream/entity/5602881941841142112
,https://xfin.tv/2DyK8Po,https://www.xfinity.com/stream/entity/5530302383240246112
,https://xfin.tv/2Dyq8fq,https://www.xfinity.com/stream/entity/6948516664260432112
,https://xfin.tv/2DZCcXn,https://www.xfinity.com/stream/entity/8910132086501749112
,https://xfin.tv/2Dze1iu,https://www.xfinity.com/stream/entity/6972528290402813112?utm_source=wtwemail&utm_medium=20191203hollywood&utm_campaign=digitalstore
,https://xfin.tv/2Dzn1Eg,https://www.xfinity.com/stream/entity/4956441105263303112
,https://xfin.tv/2Dzzsjf,https://www.xfinity.com/stream/entity/4817987784326874112
,https://xfin.tv/2E0C5ee,https://www.xfinity.com/stream/entity/5333393024324926112
,https://xfin.tv/2E0MDdc,https://www.xfinity.com/stream/entity/5881303020318615112
,https://xfin.tv/2E0p5Fm,https://www.xfinity.com/stream/entity/6320568942400245112
,https://xfin.tv/2E1KNc9,https://www.xfinity.com/stream/entity/6796902890879369112
,https://xfin.tv/2E2soMm,https://www.xfinity.com/stream/entity/5384191786762663112
,https://xfin.tv/2E3nyys,https://www.xfinity.com/stream/entity/6001651929978063112
,https://xfin.tv/2E5Qs0O,https://www.xfinity.com/stream/entity/6472367815928715112
,https://xfin.tv/2E61VO9,https://www.xfinity.com/stream/entity/7406939639749020112
,https://xfin.tv/2E6u7An,https://www.xfinity.com/stream/entity/5376528634514907112
,https://xfin.tv/2E6xRly,https://www.xfinity.com/stream/entity/5345818994089330112
,https://xfin.tv/2E7fbBP,https://www.xfinity.com/stream/entity/8904714229466901112
,https://xfin.tv/2E9BVBp,https://www.syfy.com/tags/battlestar-galacticast
,https://xfin.tv/2E9kp0b,https://www.xfinity.com/stream/entity/8887498784375366112
,https://xfin.tv/2E9Qbde,https://www.xfinity.com/stream/entity/9160803414597690112
,https://xfin.tv/2EAkwBZ,https://www.xfinity.com/stream/entity/7233365035184030112
,https://xfin.tv/2EB5iNj,https://www.xfinity.com/stream/entity/4776749023925069112
,https://xfin.tv/2EBBvnH,https://www.xfinity.com/stream/entity/8352803808944550112
,https://xfin.tv/2EBD2df,https://www.xfinity.com/stream/entity/8673354353430948112
,https://xfin.tv/2EBTQkq,https://www.xfinity.com/stream/entity/8527687765025309112
,https://xfin.tv/2EbucTb,https://www.xfinity.com/stream/entity/4952225497080712112
,https://xfin.tv/2EBxUpG,https://www.xfinity.com/stream/entity/6848614838306362112
